Timestamp,VOC(ug/m³),HCHO(ug/m³),PM2.5(ug/m³)
2025-03-27T15:58:50.965064,150,8,6
2025-03-27T15:58:50.978583,150,8,6
2025-03-27T15:58:52.074697,150,8,5
2025-03-27T15:58:53.154653,150,8,5
2025-03-27T15:58:53.154653,150,8,6
2025-03-27T15:58:54.240605,150,8,6
2025-03-27T15:58:55.330158,150,8,6
2025-03-27T15:58:56.404248,150,8,5
2025-03-27T15:58:57.504623,150,8,5
2025-03-27T15:58:58.606139,150,8,5
2025-03-27T15:58:59.707567,150,8,5
2025-03-27T15:59:00.808869,150,8,6
2025-03-27T15:59:00.808869,150,8,6
2025-03-27T15:59:01.918849,150,8,7
2025-03-27T15:59:03.022323,150,8,7
2025-03-27T15:59:04.133777,150,8,7
2025-03-27T15:59:05.249229,150,8,7
2025-03-27T15:59:06.376995,150,8,7
2025-03-27T15:59:07.497696,150,8,7
2025-03-27T15:59:08.614057,1540,52,6
2025-03-27T15:59:09.731233,2160,125,6
2025-03-27T15:59:10.844827,2130,236,7
2025-03-27T15:59:10.846021,2050,314,7
2025-03-27T15:59:11.970984,2010,345,7
2025-03-27T15:59:13.107087,1990,395,7
2025-03-27T15:59:14.231572,1940,397,8
2025-03-27T15:59:15.365456,1910,291,8
2025-03-27T15:59:16.498318,1880,197,8
2025-03-27T15:59:17.642016,1820,162,8
2025-03-27T15:59:18.779706,1730,105,8
2025-03-27T15:59:19.911039,1730,81,8
2025-03-27T15:59:19.911039,1710,42,6
2025-03-27T15:59:21.046492,1640,22,6
2025-03-27T15:59:22.190834,1610,20,5
2025-03-27T15:59:23.326960,1540,17,5
2025-03-27T15:59:24.497178,1520,9,5
2025-03-27T15:59:25.657184,1440,8,5
2025-03-27T15:59:26.812824,1410,6,6
2025-03-27T15:59:27.956644,1410,7,5
2025-03-27T15:59:27.956644,1350,8,5
2025-03-27T15:59:29.107089,1330,9,5
2025-03-27T15:59:30.269853,1330,10,5
2025-03-27T15:59:31.436223,1260,10,4
2025-03-27T15:59:32.603752,1210,10,4
2025-03-27T15:59:33.767884,1180,10,4
2025-03-27T15:59:34.927224,1170,9,6
2025-03-27T15:59:34.927224,1090,9,6
2025-03-27T15:59:36.096467,1030,9,6
2025-03-27T15:59:37.259715,990,9,6
2025-03-27T15:59:38.450295,960,8,6
2025-03-27T15:59:39.636614,950,8,6
2025-03-27T15:59:40.817730,950,8,6
2025-03-27T15:59:41.993202,860,8,7
2025-03-27T15:59:41.995506,780,8,7
2025-03-27T15:59:43.206038,720,9,7
2025-03-27T15:59:44.394515,660,9,6
2025-03-27T15:59:45.586483,610,9,6
2025-03-27T15:59:46.791725,570,9,6
2025-03-27T15:59:47.987993,530,9,7
2025-03-27T15:59:47.989064,490,9,7
2025-03-27T15:59:49.191224,450,8,7
2025-03-27T15:59:50.390881,420,8,6
2025-03-27T15:59:51.592773,390,8,6
2025-03-27T15:59:52.792128,360,8,5
2025-03-27T15:59:53.993241,340,8,5
2025-03-27T15:59:53.994486,330,8,5
2025-03-27T15:59:55.234440,330,8,5
2025-03-27T15:59:56.438192,320,8,5
2025-03-27T15:59:57.650024,310,8,5
2025-03-27T15:59:58.866101,300,8,6
2025-03-27T16:00:00.086870,300,8,6
2025-03-27T16:00:00.088019,300,7,6
2025-03-27T16:00:01.322999,300,7,5
2025-03-27T16:00:02.552251,210,7,5
2025-03-27T16:00:03.777389,150,7,5
2025-03-27T16:00:05.021375,150,7,5
2025-03-27T16:00:05.023678,150,7,6
2025-03-27T16:00:06.245290,150,7,6
2025-03-27T16:00:07.496598,150,7,6
2025-03-27T16:00:08.727713,150,7,5
2025-03-27T16:00:09.966727,150,7,5
2025-03-27T16:00:09.970778,150,7,5
2025-03-27T16:00:11.219416,150,7,6
2025-03-27T16:00:12.476157,150,7,6
2025-03-27T16:00:13.742038,150,7,5
2025-03-27T16:00:15.002213,150,7,5
2025-03-27T16:00:15.003282,150,7,5
2025-03-27T16:00:16.269944,150,6,5
2025-03-27T16:00:17.560229,150,6,5
2025-03-27T16:00:18.874954,150,6,5
2025-03-27T16:00:20.160977,150,6,5
2025-03-27T16:00:20.163285,150,6,5
2025-03-27T16:00:21.428436,150,6,5
2025-03-27T16:00:22.703049,150,6,5
2025-03-27T16:00:23.966593,150,6,6
2025-03-27T16:00:25.266158,150,6,6
2025-03-27T16:00:25.266158,150,6,6
2025-03-27T16:00:26.532828,150,6,6
2025-03-27T16:00:27.812440,150,6,6
2025-03-27T16:00:29.086418,150,6,6
2025-03-27T16:00:29.086418,150,6,5
2025-03-27T16:00:30.365062,150,6,5
2025-03-27T16:00:31.673239,150,6,5
2025-03-27T16:00:32.972537,150,6,6
2025-03-27T16:00:34.264274,150,6,6
2025-03-27T16:00:34.265624,150,6,6
