Timestamp,VOC(ug/m³),HCHO(ug/m³),PM2.5(ug/m³)
2025-03-27T16:35:36.711142,150,9,14
2025-03-27T16:35:37.790092,150,9,14
2025-03-27T16:35:37.791173,150,9,15
2025-03-27T16:35:38.856303,150,9,13
2025-03-27T16:35:39.930451,150,9,13
2025-03-27T16:35:39.930451,150,9,13
2025-03-27T16:35:41.017014,150,9,13
2025-03-27T16:35:42.089427,150,9,13
2025-03-27T16:35:43.177398,150,9,13
2025-03-27T16:35:44.261906,150,9,13
2025-03-27T16:35:45.345519,160,18,13
2025-03-27T16:35:46.434575,1580,112,13
2025-03-27T16:35:46.434575,1690,168,13
2025-03-27T16:35:47.521833,1690,261,14
2025-03-27T16:35:48.607158,1620,298,14
2025-03-27T16:35:49.696847,1560,358,14
2025-03-27T16:35:50.797941,1480,379,14
2025-03-27T16:35:51.902855,1390,334,14
2025-03-27T16:35:53.004788,1310,231,14
2025-03-27T16:35:54.106919,1310,185,14
2025-03-27T16:35:55.218808,1230,104,13
2025-03-27T16:35:56.326101,1230,40,12
2025-03-27T16:35:57.436987,1190,22,12
2025-03-27T16:35:58.569104,1110,10,12
2025-03-27T16:35:58.569104,1060,9,12
2025-03-27T16:35:59.677214,1040,8,12
2025-03-27T16:36:00.787779,950,8,12
2025-03-27T16:36:01.903599,890,9,11
2025-03-27T16:36:03.020740,850,8,11
2025-03-27T16:36:04.140274,850,8,11
2025-03-27T16:36:05.274462,790,8,11
2025-03-27T16:36:06.404097,740,7,10
2025-03-27T16:36:07.537366,720,7,10
2025-03-27T16:36:07.537366,720,8,10
2025-03-27T16:36:08.672577,640,8,12
2025-03-27T16:36:09.806875,570,8,12
2025-03-27T16:36:10.954856,510,8,12
2025-03-27T16:36:12.087065,460,8,12
2025-03-27T16:36:13.239720,420,8,12
2025-03-27T16:36:14.375560,380,8,13
2025-03-27T16:36:15.529338,350,8,14
2025-03-27T16:36:15.529338,320,8,14
2025-03-27T16:36:16.694089,290,7,14
2025-03-27T16:36:17.842446,270,7,14
2025-03-27T16:36:18.993657,250,7,14
2025-03-27T16:36:20.160747,240,7,14
2025-03-27T16:36:21.310195,240,7,14
2025-03-27T16:36:22.471842,150,7,14
2025-03-27T16:36:23.630632,150,7,14
2025-03-27T16:36:23.630632,150,7,15
2025-03-27T16:36:24.810165,150,7,15
2025-03-27T16:36:25.974089,150,7,16
2025-03-27T16:36:27.135307,150,7,16
2025-03-27T16:36:28.317971,150,6,16
2025-03-27T16:36:29.501437,150,6,16
2025-03-27T16:36:30.683314,150,6,16
2025-03-27T16:36:30.683314,150,6,16
2025-03-27T16:36:31.868839,150,6,16
2025-03-27T16:36:33.068704,150,6,16
2025-03-27T16:36:34.256358,150,7,15
2025-03-27T16:36:35.439417,150,7,15
2025-03-27T16:36:36.625581,150,6,15
2025-03-27T16:36:36.625581,150,6,15
2025-03-27T16:36:37.823967,150,6,14
2025-03-27T16:36:39.025476,150,6,14
2025-03-27T16:36:40.243448,150,6,14
2025-03-27T16:36:41.445359,150,5,14
2025-03-27T16:36:42.643633,150,6,14
2025-03-27T16:36:42.644768,150,6,14
2025-03-27T16:36:43.870164,150,6,14
2025-03-27T16:36:45.082070,150,6,14
2025-03-27T16:36:46.281981,150,6,14
2025-03-27T16:36:47.497818,150,6,15
2025-03-27T16:36:48.728068,150,6,15
2025-03-27T16:36:48.728068,150,6,15
2025-03-27T16:36:49.944326,150,6,15
2025-03-27T16:36:51.175745,150,6,15
2025-03-27T16:36:52.405352,150,7,15
2025-03-27T16:36:53.652225,150,7,15
2025-03-27T16:36:53.652225,150,7,15
2025-03-27T16:36:54.885131,150,7,15
2025-03-27T16:36:56.125647,150,7,15
2025-03-27T16:36:57.373597,150,7,15
2025-03-27T16:36:58.605365,150,7,15
2025-03-27T16:36:59.916215,150,7,14
2025-03-27T16:36:59.916215,150,7,14
2025-03-27T16:37:01.171887,150,7,14
2025-03-27T16:37:02.469918,150,7,14
2025-03-27T16:37:03.783078,150,7,14
2025-03-27T16:37:03.783078,150,7,14
2025-03-27T16:37:05.068187,150,7,15
2025-03-27T16:37:06.341445,150,7,15
2025-03-27T16:37:07.605221,150,7,15
2025-03-27T16:37:08.880431,150,7,14
2025-03-27T16:37:08.881529,150,7,14
2025-03-27T16:37:10.144774,150,7,14
2025-03-27T16:37:11.425062,150,7,15
2025-03-27T16:37:12.704041,150,7,15
2025-03-27T16:37:12.704041,150,7,15
2025-03-27T16:37:13.999829,150,7,15
2025-03-27T16:37:15.289214,150,7,15
2025-03-27T16:37:16.571666,150,7,16
2025-03-27T16:37:17.881290,150,7,15
2025-03-27T16:37:17.881290,150,7,15
2025-03-27T16:37:19.176945,150,7,16
2025-03-27T16:37:20.470897,150,7,17
2025-03-27T16:37:21.754418,150,7,18
2025-03-27T16:37:21.754418,150,7,18
2025-03-27T16:37:23.067498,150,7,17
2025-03-27T16:37:24.384364,150,7,17
2025-03-27T16:37:25.683246,150,7,18
2025-03-27T16:37:27.006799,150,7,19
2025-03-27T16:37:27.006799,150,7,19
2025-03-27T16:37:28.336742,150,7,19
2025-03-27T16:37:29.660085,150,7,18
2025-03-27T16:37:30.990730,150,7,18
2025-03-27T16:37:30.990730,150,7,18
2025-03-27T16:37:32.316898,150,7,19
2025-03-27T16:37:33.639986,150,7,19
2025-03-27T16:37:34.999033,150,7,19
2025-03-27T16:37:35.000135,150,7,19
2025-03-27T16:37:36.341099,150,7,19
2025-03-27T16:37:37.700026,150,7,19
2025-03-27T16:37:39.071176,150,7,19
2025-03-27T16:37:39.071176,150,7,19
2025-03-27T16:37:40.412215,150,7,19
2025-03-27T16:37:41.773572,150,7,19
2025-03-27T16:37:41.774572,150,7,19
2025-03-27T16:37:43.123531,150,7,19
2025-03-27T16:37:44.484108,150,7,19
2025-03-27T16:37:45.851136,150,7,19
2025-03-27T16:37:45.851136,150,7,18
2025-03-27T16:37:47.194192,150,7,18
2025-03-27T16:37:48.558074,150,7,18
2025-03-27T16:37:49.963093,150,7,18
2025-03-27T16:37:49.964250,150,7,17
2025-03-27T16:37:51.348849,150,7,17
2025-03-27T16:37:52.755671,150,7,17
2025-03-27T16:37:52.755671,150,7,16
2025-03-27T16:37:54.146511,150,7,16
2025-03-27T16:37:55.550072,150,7,16
2025-03-27T16:37:56.946803,150,7,16
2025-03-27T16:37:56.947997,150,7,16
2025-03-27T16:37:58.323225,150,7,16
2025-03-27T16:37:59.713524,150,7,16
2025-03-27T16:38:01.117601,150,7,15
2025-03-27T16:38:01.117601,150,8,15
2025-03-27T16:38:02.529086,150,8,16
2025-03-27T16:38:03.910785,150,8,17
2025-03-27T16:38:03.911809,150,8,17
2025-03-27T16:38:05.361784,150,8,17
2025-03-27T16:38:06.759822,150,8,17
2025-03-27T16:38:08.161375,150,8,17
2025-03-27T16:38:08.161375,150,8,17
2025-03-27T16:38:09.572306,150,8,17
2025-03-27T16:38:10.975043,150,7,17
2025-03-27T16:38:10.975043,150,7,16
2025-03-27T16:38:12.374419,150,7,16
