Timestamp,VOC(ug/m³),HCHO(ug/m³),PM2.5(ug/m³)
2025-03-27T19:32:56.571490,1450,18,349
2025-03-27T19:32:57.648621,1440,18,346
2025-03-27T19:32:58.723152,1440,18,342
2025-03-27T19:32:58.724414,1440,17,333
2025-03-27T19:32:59.804755,1440,17,330
2025-03-27T19:33:00.886824,1430,17,331
2025-03-27T19:33:01.959648,1440,17,328
2025-03-27T19:33:01.960849,1440,17,324
2025-03-27T19:33:03.054263,1430,17,320
2025-03-27T19:33:04.132202,1430,17,317
2025-03-27T19:33:05.220091,1430,17,315
2025-03-27T19:33:06.303856,1430,17,315
2025-03-27T19:33:07.388020,1430,17,315
2025-03-27T19:33:08.476466,1440,17,313
2025-03-27T19:33:09.577630,1440,17,312
2025-03-27T19:33:10.679931,1440,17,311
2025-03-27T19:33:11.788048,1430,17,310
2025-03-27T19:33:12.892294,1430,17,309
2025-03-27T19:33:14.003877,1410,17,303
2025-03-27T19:33:14.004996,1410,17,302
2025-03-27T19:33:15.104354,1400,17,301
2025-03-27T19:33:16.221805,1400,17,301
2025-03-27T19:33:17.339891,1400,17,300
2025-03-27T19:33:18.457099,1400,17,299
2025-03-27T19:33:19.578167,1400,17,302
2025-03-27T19:33:20.695395,1400,17,302
2025-03-27T19:33:21.800865,1410,17,295
2025-03-27T19:33:22.921417,1420,17,295
2025-03-27T19:33:24.038598,1420,17,295
2025-03-27T19:33:24.039827,1450,17,301
2025-03-27T19:33:25.171799,1470,17,303
2025-03-27T19:33:26.296935,1490,17,305
2025-03-27T19:33:27.431056,1490,18,306
2025-03-27T19:33:28.553180,1510,18,309
2025-03-27T19:33:29.699926,1530,18,309
2025-03-27T19:33:30.837320,1570,18,312
2025-03-27T19:33:31.981045,1610,18,318
2025-03-27T19:33:33.113091,1630,18,322
2025-03-27T19:33:33.113091,1650,18,326
2025-03-27T19:33:34.250557,1680,18,329
2025-03-27T19:33:35.389743,1710,18,335
2025-03-27T19:33:36.542268,1720,18,340
2025-03-27T19:33:37.688842,1720,18,347
2025-03-27T19:33:38.844625,1720,18,352
2025-03-27T19:33:40.003784,1740,18,357
2025-03-27T19:33:41.165033,1780,18,362
